Date,Open,High,Low,Close,Volume,Adj Close
2008-05-27,544.96,589.92,543.85,585.80,3996500,585.80
2008-05-19,578.55,588.88,537.81,544.62,4978800,544.62
2008-05-12,574.75,591.19,568.91,580.07,4604000,580.07
2008-05-05,598.86,599.49,571.30,573.20,5426200,573.20
2008-04-28,545.88,602.45,539.00,581.29,5971800,581.29
2008-04-21,539.39,560.83,530.29,544.06,5719800,544.06
2008-04-14,457.16,547.70,441.00,539.41,9527900,539.41
2008-04-07,477.03,485.44,455.01,457.45,5156100,457.45
2008-03-31,435.64,477.83,432.01,471.09,5842800,471.09
2008-03-24,438.43,465.78,434.31,438.08,5605800,438.08
2008-03-17,427.99,447.50,412.11,433.55,7804400,433.55
2008-03-10,428.83,449.34,413.04,437.92,7553400,437.92
2008-03-03,471.51,472.72,426.24,433.35,8830900,433.35
2008-02-25,505.95,506.50,446.85,471.18,11558800,471.18
2008-02-19,534.94,535.06,497.55,507.80,6051500,507.80
2008-02-11,520.52,541.04,513.03,529.64,6165900,529.64
2008-02-04,509.07,517.73,488.52,516.69,9350900,516.69
2008-01-28,570.97,573.00,510.00,515.90,10502200,515.90
2008-01-22,562.03,597.50,519.00,566.40,10708500,566.40
2008-01-14,651.14,657.40,598.01,600.25,7466400,600.25
2008-01-07,653.94,662.28,622.51,638.25,5958600,638.25
2007-12-31,698.57,702.49,655.00,657.00,3823800,657.00
2007-12-24,694.99,716.00,693.06,702.53,2415900,702.53
2007-12-17,688.00,699.26,652.50,696.69,5375600,696.69
2007-12-10,715.99,724.80,681.21,689.96,4973700,689.96
2007-12-03,691.01,718.00,677.12,714.87,4305500,714.87
2007-11-26,680.20,711.06,650.26,693.00,7542900,693.00
2007-11-19,629.59,678.28,618.50,676.70,6280000,676.70
2007-11-12,657.74,675.49,616.02,633.63,8551700,633.63
2007-11-05,706.99,747.24,661.21,663.97,10694600,663.97
2007-10-29,677.77,713.72,672.09,711.25,5842400,711.25
2007-10-22,638.67,678.97,636.28,674.60,6002300,674.60
2007-10-15,638.47,658.49,611.99,644.71,9415500,644.71
2007-10-08,595.00,641.41,593.95,637.39,7560800,637.39
2007-10-01,569.97,596.81,569.61,594.05,4742700,594.05
2007-09-24,561.00,571.79,560.00,567.27,3213900,567.27
2007-09-17,526.53,560.79,524.07,560.10,5095300,560.10
2007-09-10,521.28,530.27,510.88,528.75,2714200,528.75
2007-09-04,515.02,529.83,514.62,519.35,3574000,519.35
2007-08-27,514.43,517.45,505.79,515.25,2755500,515.25
2007-08-20,502.46,516.25,496.00,515.00,3022000,515.00
2007-08-13,519.54,519.75,480.46,500.04,5269500,500.04
2007-08-06,503.00,526.82,502.50,515.75,4541200,515.75
2007-07-30,512.92,520.44,503.00,503.00,3797200,503.00
2007-07-23,519.01,520.00,498.88,511.89,5973200,511.89
2007-07-16,550.30,558.58,509.50,520.12,9181500,520.12
2007-07-09,543.00,552.67,540.01,552.16,3914700,552.16
2007-07-02,525.49,544.40,524.20,539.40,3262300,539.40
2007-06-25,528.98,534.99,519.46,522.70,5557300,522.70
2007-06-18,506.18,524.99,504.24,524.98,5028500,524.98
2007-06-11,514.02,518.25,498.69,505.89,5779300,505.89
2007-06-04,497.91,526.50,497.59,515.49,8484700,515.49
2007-05-29,485.00,508.78,483.00,500.40,6546700,500.40
2007-05-21,469.53,484.95,466.72,483.52,4916100,483.52
2007-05-14,465.48,475.22,457.41,470.32,4580400,470.32
2007-05-07,472.14,472.82,461.00,466.74,3289100,466.74
2007-04-30,479.15,481.35,464.17,471.12,3581200,471.12
2007-04-23,480.10,485.00,475.55,479.01,4077300,479.01
2007-04-16,468.46,492.50,468.15,482.48,7425900,482.48
2007-04-09,472.98,473.00,462.24,466.29,3071200,466.29
2007-04-02,457.76,474.25,452.12,471.51,4111200,471.51
2007-03-26,460.55,466.00,455.00,458.16,4082300,458.16
2007-03-19,443.25,463.39,440.63,461.83,4841900,461.83
2007-03-12,452.57,455.25,439.00,440.85,5492500,440.85
2007-03-05,437.02,465.50,437.00,452.96,6152600,452.96
2007-02-26,472.83,475.25,438.68,438.68,7316700,438.68
2007-02-20,468.47,484.24,464.71,470.62,4833600,470.62
2007-02-12,460.68,470.15,455.02,469.94,5147000,469.94
2007-02-05,477.50,478.00,461.50,461.89,5116700,461.89
2007-01-29,498.00,506.01,477.81,481.50,8621500,481.50
2007-01-22,492.50,504.50,477.29,495.84,5598800,495.84
2007-01-16,507.55,513.00,486.74,489.75,6294500,489.75
2007-01-08,487.69,505.00,481.20,505.00,5557200,505.00
2007-01-03,466.00,487.50,461.11,487.19,7488700,487.19
2006-12-26,456.52,468.58,454.59,460.48,2995300,460.48
2006-12-18,482.51,482.74,452.34,455.58,5982600,455.58
2006-12-11,484.92,488.90,477.02,480.30,4409200,480.30
2006-12-04,483.00,492.40,479.35,484.11,4418400,484.11
2006-11-27,501.37,501.78,477.03,480.80,6529300,480.80
2006-11-20,498.40,513.00,492.65,505.00,4946300,505.00
2006-11-13,474.90,499.85,474.14,498.79,6107900,498.79
2006-11-06,473.77,481.74,468.60,473.55,5105900,473.55
2006-10-30,474.82,482.16,465.06,471.80,5683800,471.80
2006-10-23,462.28,491.96,460.37,475.20,9317500,475.20
2006-10-16,427.70,460.10,416.70,459.67,7739800,459.67
2006-10-09,424.80,437.85,422.39,427.30,6294700,427.30
2006-10-02,401.90,421.91,398.19,420.50,5780900,420.50
2006-09-25,405.58,411.22,400.54,401.90,5064300,401.90
2006-09-18,410.00,418.69,392.74,403.78,9177800,403.78
2006-09-11,378.26,410.05,377.77,409.88,6588700,409.88
2006-09-05,379.87,385.40,376.72,377.85,3680900,377.85
2006-08-28,375.61,384.65,375.00,378.60,3660200,378.60
2006-08-21,378.10,379.26,372.26,373.26,3555700,373.26
2006-08-14,371.50,390.00,368.67,383.36,5510400,383.36
2006-08-07,371.50,384.68,368.00,368.50,4405900,368.50
2006-07-31,388.00,389.17,363.36,373.85,5715700,373.85
2006-07-24,392.82,393.89,377.95,388.12,5820700,388.12
2006-07-17,404.63,411.00,377.69,390.11,9432100,390.11
2006-07-10,423.44,425.23,398.61,403.50,5958200,403.50
2006-07-03,420.04,427.89,415.64,420.45,4217800,420.45
2006-06-26,406.75,419.33,401.01,419.33,4857000,419.33
2006-06-19,390.85,409.75,386.51,404.86,6328800,404.86
2006-06-12,388.34,392.25,378.12,390.70,6508100,390.70
2006-06-05,376.18,395.43,374.15,386.57,8249300,386.57
2006-05-30,378.28,387.08,366.78,379.44,6240400,379.44
2006-05-22,367.85,385.88,365.25,381.35,7800500,381.35
2006-05-15,375.93,381.81,360.57,370.02,8591600,370.02
2006-05-08,395.11,411.71,373.55,374.13,7885300,374.13
2006-05-01,418.47,419.44,388.40,394.30,8450900,394.30
2006-04-24,439.40,444.70,416.30,417.94,8288400,417.94
2006-04-17,403.45,450.72,400.84,437.10,11600300,437.10
2006-04-10,407.08,419.10,400.50,402.16,8249300,402.16
2006-04-03,389.53,414.57,387.93,406.16,10574600,406.16
2006-03-27,367.09,399.00,365.00,390.00,17246000,390.00
2006-03-20,342.34,370.09,337.50,365.80,10090000,365.80
2006-03-13,340.93,352.37,332.62,339.79,12686000,339.79
2006-03-06,380.91,383.40,331.55,337.50,12860000,337.50
2006-02-27,381.27,397.54,338.51,378.18,18400600,378.18
2006-02-21,366.44,381.24,363.86,377.40,8549500,377.40
2006-02-13,346.64,372.14,337.83,368.75,16590900,368.75
2006-02-06,385.31,389.90,353.14,362.61,14702100,362.61
2006-01-30,429.23,439.60,372.57,381.55,17573300,381.55
2006-01-23,407.38,454.23,405.73,433.49,15664800,433.49
2006-01-17,463.06,469.90,394.74,399.46,21102500,399.46
2006-01-09,466.41,475.11,460.94,466.25,9735600,466.25
2006-01-03,422.52,470.50,418.22,465.66,14243200,465.66
2005-12-27,431.86,431.86,413.74,414.86,7088400,414.86
2005-12-19,432.20,446.21,420.11,430.93,11077000,430.93
2005-12-12,414.63,432.50,409.95,430.15,8822700,430.15
2005-12-05,417.00,417.50,399.01,409.20,10724700,409.20
2005-11-28,429.82,431.24,395.56,417.70,13077800,417.70
2005-11-21,399.17,428.75,393.49,428.62,8714000,428.62
2005-11-14,392.12,404.50,390.95,400.21,8273100,400.21
2005-11-07,395.10,397.47,377.43,390.40,8829700,390.40
2005-10-31,360.24,391.79,359.51,390.43,11507500,390.43
2005-10-24,343.37,358.95,342.19,358.17,7251000,358.17
2005-10-17,297.50,346.43,294.56,339.90,11691800,339.90
2005-10-10,313.31,314.82,290.68,296.14,8501500,296.14
2005-10-03,313.63,321.28,308.00,312.99,8279400,312.99
2005-09-26,319.50,320.95,305.60,316.46,7906000,316.46
2005-09-19,301.00,319.22,300.71,315.36,9344500,315.36
2005-09-12,301.75,315.53,297.91,300.20,11001600,300.20
2005-09-06,289.00,299.28,285.28,299.09,5678900,299.09
2005-08-29,282.24,289.99,282.24,288.45,4381100,288.45
2005-08-22,281.24,285.02,273.35,283.58,5871900,283.58
2005-08-15,289.80,292.77,275.00,280.00,7316500,280.00
2005-08-08,293.60,295.65,280.62,289.72,6248100,289.72
2005-08-01,288.12,299.72,288.10,292.35,6011800,292.35
2005-07-25,302.39,303.29,286.99,287.76,8196500,287.76
2005-07-18,300.00,317.80,296.33,302.40,15263100,302.40
2005-07-11,296.40,306.75,290.93,301.19,8959800,301.19
2005-07-05,292.10,297.60,288.51,296.23,8406000,296.23
2005-06-27,298.90,309.25,289.22,291.25,15892000,291.25
2005-06-20,276.09,298.00,271.73,297.25,15691700,297.25
2005-06-13,279.82,284.19,267.43,280.30,13335000,280.30
2005-06-06,282.39,299.59,278.00,282.50,20337500,282.50
2005-05-31,269.43,292.89,269.37,280.26,23546200,280.26
2005-05-23,243.16,266.05,242.71,266.00,18844000,266.00
2005-05-16,229.68,241.67,228.57,241.61,8736400,241.61
2005-05-09,228.00,232.23,224.72,229.24,7945000,229.24
2005-05-02,222.05,229.88,220.21,228.02,10780900,228.02
2005-04-25,217.82,224.74,216.74,220.00,13045900,220.00
2005-04-18,184.58,224.00,183.49,215.81,16277700,215.81
2005-04-11,193.09,194.80,184.66,185.00,7403200,185.00
2005-04-04,179.95,195.10,179.84,192.05,7374900,192.05
2005-03-28,181.68,184.80,177.64,180.04,6879500,180.04
2005-03-21,179.27,182.17,177.25,179.25,5416400,179.25
2005-03-14,178.33,180.40,172.57,180.04,8805100,180.04
2005-03-07,187.78,189.85,177.15,177.80,9412500,177.80
2005-02-28,186.00,189.87,182.00,185.90,7759500,185.90
2005-02-22,196.50,198.90,182.23,185.87,16214300,185.87
2005-02-14,182.85,199.84,181.00,197.95,19955500,197.95
2005-02-07,205.26,206.40,185.25,187.40,14742100,187.40
2005-01-31,193.69,216.80,190.63,204.36,17808400,204.36
2005-01-24,188.69,194.70,176.29,190.34,11165000,190.34
2005-01-18,200.97,205.30,188.12,188.28,10672500,188.28
2005-01-10,194.50,200.01,190.50,199.97,7833100,199.97
2005-01-03,197.40,203.64,187.72,193.85,11577300,193.85
2004-12-27,189.15,199.88,189.10,192.79,5300100,192.79
2004-12-20,182.00,188.60,181.87,187.90,5718100,187.90
2004-12-13,172.17,180.69,169.45,180.08,8667400,180.08
2004-12-06,179.13,180.70,168.47,171.65,6527500,171.65
2004-11-29,180.36,183.00,177.51,180.40,7672100,180.40
