Date,Open,High,Low,Close,Volume,Adj Close
2009-03-23,102.71,109.98,101.75,106.85,21876800,104.60
2009-03-16,96.53,103.48,94.18,101.59,25540600,99.45
2009-03-09,84.18,97.20,82.57,95.93,26846800,93.91
2009-03-02,88.12,92.77,82.33,85.30,28248000,83.51
2009-02-23,91.65,92.92,86.51,89.31,26883300,87.43
2009-02-17,96.87,97.04,89.00,91.20,27108300,89.28
2009-02-09,100.00,103.00,95.77,99.16,26180000,97.08
2009-02-02,89.10,100.00,88.90,99.72,24303100,97.62
2009-01-26,88.86,95.00,88.30,90.13,24399200,88.23
2009-01-20,81.93,90.00,78.20,88.36,37343600,86.50
2009-01-12,90.46,90.99,80.05,82.33,37978800,80.60
2009-01-05,93.17,97.17,90.04,90.58,31716700,88.68
2008-12-29,86.52,91.04,84.72,90.75,26849600,88.84
2008-12-22,90.02,90.03,84.55,85.81,18387700,84.01
2008-12-15,95.99,96.48,88.02,90.00,35274700,88.11
2008-12-08,97.28,103.60,92.53,98.27,38631900,96.20
2008-12-01,91.30,96.23,86.50,94.00,39616600,92.02
2008-11-24,85.21,95.25,84.84,92.67,34599600,90.72
2008-11-17,88.48,91.58,79.14,82.58,48787200,80.84
2008-11-10,100.17,100.40,86.02,90.24,48476300,88.34
2008-11-03,105.93,111.79,95.72,98.24,43767100,96.17
2008-10-27,95.07,112.19,91.86,107.59,57798000,105.33
2008-10-20,99.78,101.25,90.11,96.38,66112800,94.35
2008-10-13,104.55,116.40,85.89,97.40,63192800,95.35
2008-10-06,91.96,101.50,85.00,96.80,71647200,94.76
2008-09-29,119.62,119.68,94.65,97.07,67492700,95.03
2008-09-22,139.94,140.25,123.00,128.24,37975600,125.54
2008-09-15,142.03,147.69,120.68,140.91,45914600,137.95
2008-09-08,164.57,164.89,146.00,148.94,35916500,145.81
2008-09-02,172.40,173.50,157.65,160.18,27195200,156.81
2008-08-25,176.15,176.25,169.04,169.53,17417300,165.97
2008-08-18,175.57,177.81,171.81,176.79,18960900,173.07
2008-08-11,170.07,180.45,169.67,175.74,28496300,172.04
2008-08-04,156.60,169.65,152.91,169.55,24704800,165.99
2008-07-28,162.34,162.47,153.65,156.66,24086400,153.37
2008-07-21,166.90,168.37,146.53,162.12,41250600,158.71
2008-07-14,179.24,179.30,165.00,165.15,30713000,161.68
2008-07-07,173.16,180.91,171.00,172.58,31251500,168.95
2008-06-30,170.19,177.45,164.00,170.12,28181700,166.54
2008-06-23,174.74,178.83,164.15,170.09,27314500,166.51
2008-06-16,171.30,182.34,169.07,175.27,31736900,171.58
2008-06-09,184.79,186.78,165.31,172.37,47461600,168.75
2008-06-02,188.60,189.95,182.34,185.64,27693300,181.74
2008-05-27,182.75,189.54,181.84,188.75,24921900,184.78
2008-05-19,187.86,188.69,172.00,181.17,37049800,177.36
2008-05-12,185.21,192.24,182.85,187.62,29982800,183.68
2008-05-05,181.92,188.20,180.54,183.45,32162200,179.59
2008-04-28,169.75,181.92,169.13,180.94,33999100,177.14
2008-04-21,162.21,171.10,158.09,169.73,47653200,166.16
2008-04-14,146.77,162.26,144.54,161.04,29070900,157.65
2008-04-07,156.13,159.69,146.40,147.14,37227500,144.05
2008-03-31,143.27,154.71,142.52,153.08,33939900,149.86
2008-03-24,134.01,145.74,133.64,143.01,35827400,140.00
2008-03-17,122.55,134.29,122.55,133.27,37473600,130.47
2008-03-10,121.98,130.30,119.37,126.61,40299300,123.95
2008-03-03,124.44,127.50,118.00,122.25,52174400,119.68
2008-02-25,118.59,132.20,115.44,125.02,50789500,122.39
2008-02-19,125.99,126.75,115.87,119.46,39647100,116.95
2008-02-11,128.01,131.00,123.62,124.63,37509600,122.01
2008-02-04,134.21,135.90,117.27,125.48,50377500,122.84
2008-01-28,128.16,136.65,126.45,133.75,44102100,130.94
2008-01-22,148.06,159.98,126.14,130.01,83645800,127.28
2008-01-14,177.52,179.42,156.70,161.36,65284100,157.97
2008-01-07,181.25,183.60,168.30,172.69,58036800,169.06
2007-12-31,199.50,200.50,178.89,180.05,34967900,176.26
2007-12-24,195.03,202.96,194.79,199.83,23920600,195.63
2007-12-17,190.72,193.91,178.60,193.91,34591300,189.83
2007-12-10,193.59,196.83,185.76,190.39,32842100,186.39
2007-12-03,181.86,194.99,176.99,194.30,32811000,190.21
2007-11-26,173.59,187.70,170.01,182.22,42945900,178.39
2007-11-19,166.10,172.35,162.10,171.54,39113500,167.93
2007-11-12,165.28,177.57,150.63,166.39,55854800,162.89
2007-11-05,185.29,192.68,165.21,165.37,44041700,161.89
2007-10-29,185.45,190.12,180.00,187.87,29431600,183.92
2007-10-22,170.35,188.60,169.96,184.70,45806400,180.82
2007-10-15,167.98,174.63,163.50,170.42,38491600,166.84
2007-10-08,163.49,171.88,153.21,167.25,37428300,163.73
2007-10-01,154.63,161.58,152.93,161.45,28014900,158.06
2007-09-24,146.73,155.00,146.65,153.47,32094800,150.24
2007-09-17,138.99,144.65,137.60,144.15,33679000,141.12
2007-09-10,136.99,139.40,133.75,138.81,33899800,135.89
2007-09-04,139.94,145.84,130.00,131.77,62293700,129.00
2007-08-27,133.39,139.65,126.63,138.48,38329500,135.57
2007-08-20,123.96,135.37,120.50,135.30,35334300,132.46
2007-08-13,128.32,129.35,111.62,122.06,39618000,119.49
2007-08-06,132.90,137.24,120.30,125.00,37281000,122.37
2007-07-30,144.33,145.45,127.77,131.85,43938300,129.08
2007-07-23,143.31,148.92,134.15,143.85,54826300,140.83
2007-07-16,138.39,144.18,136.04,143.75,30739900,140.73
2007-07-09,132.38,137.85,128.81,137.73,33462900,134.83
2007-07-02,121.05,133.34,119.30,132.30,40045400,129.52
2007-06-25,124.19,125.09,118.72,122.04,37579200,119.47
2007-06-18,123.28,125.18,120.72,123.00,30357600,120.41
2007-06-11,126.00,126.15,115.40,120.50,48619000,117.97
2007-06-04,118.63,127.61,117.90,124.49,43403300,121.87
2007-05-29,114.45,122.17,112.69,118.40,38450600,115.91
2007-05-21,110.31,115.00,110.05,113.62,26028500,111.23
2007-05-14,109.62,110.64,103.42,110.02,29213300,107.71
2007-05-07,101.08,109.13,101.01,108.74,30101900,106.45
2007-04-30,100.09,101.60,98.55,100.81,18658800,98.69
2007-04-23,91.59,102.50,91.30,99.92,38999000,97.82
2007-04-16,90.57,92.30,89.60,90.97,19812000,89.06
2007-04-09,95.21,95.30,90.06,90.24,19224600,88.34
2007-04-02,94.14,95.23,93.02,94.68,17127000,92.69
2007-03-26,93.99,96.83,92.23,92.91,29040400,90.96
2007-03-19,90.24,94.36,89.59,93.52,20722500,91.55
2007-03-12,88.07,90.60,87.92,89.59,25179200,87.71
2007-03-05,85.89,88.97,85.76,87.97,22508700,86.12
2007-02-26,89.84,90.00,83.00,85.41,35404700,83.61
2007-02-20,84.65,90.81,84.16,89.07,27938700,87.20
2007-02-12,84.43,85.64,83.63,84.83,18404000,83.05
2007-02-05,84.30,86.51,82.86,83.27,28926000,81.52
2007-01-29,86.30,86.65,83.70,84.75,25868400,82.97
2007-01-22,89.14,89.16,84.99,85.38,39157900,83.58
2007-01-16,95.68,97.60,88.12,88.50,59101900,86.64
2007-01-08,85.96,97.80,85.15,94.62,70373000,92.63
2007-01-03,86.29,86.58,81.90,85.05,34765700,83.26
2006-12-26,82.15,85.40,76.77,84.84,41274500,83.06
2006-12-18,87.63,88.00,81.60,82.20,26554100,80.47
2006-12-11,88.90,90.00,85.53,87.72,28255100,85.88
